backers_count,category,country,spotlight,staff_pick,state,usd_pledged,live_period,state_change_period,usd_goal
0,"{""id"":304,""name"":""Bacon"",""slug"":""food/bacon"",""position"":1,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/bacon""}}}",US,FALSE,FALSE,canceled,0,30,0,20
73,"{""id"":10,""name"":""Food"",""slug"":""food"",""position"":8,""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food""}}}",US,TRUE,FALSE,successful,5244,33,33,3000
176,"{""id"":332,""name"":""Apps"",""slug"":""technology/apps"",""position"":2,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/apps""}}}",FR,TRUE,FALSE,successful,17443.085932374,30,30,16975.776749999997
3,"{""id"":36,""name"":""Classical Music"",""slug"":""music/classical music"",""position"":3,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/classical%20music""}}}",US,FALSE,FALSE,failed,28,32,32,3000
2,"{""id"":352,""name"":""Quilts"",""slug"":""crafts/quilts"",""position"":10,""parent_id"":26,""parent_name"":""Crafts"",""color"":16744876,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/crafts/quilts""}}}",US,FALSE,FALSE,failed,20,29,29,170000
11,"{""id"":267,""name"":""Jewelry"",""slug"":""fashion/jewelry"",""position"":6,""parent_id"":9,""parent_name"":""Fashion"",""color"":16752598,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/fashion/jewelry""}}}",AU,FALSE,FALSE,failed,1674.13540371,40,40,7675.999100000001
34,"{""id"":260,""name"":""Interactive Design"",""slug"":""design/interactive design"",""position"":4,""parent_id"":7,""parent_name"":""Design"",""color"":2577151,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/design/interactive%20design""}}}",US,FALSE,FALSE,failed,1971,59,59,2500
479,"{""id"":270,""name"":""Gaming Hardware"",""slug"":""games/gaming hardware"",""position"":1,""parent_id"":12,""parent_name"":""Games"",""color"":51627,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/games/gaming%20hardware""}}}",IT,TRUE,FALSE,successful,76494.02686695,30,30,61146.30445
348,"{""id"":349,""name"":""Letterpress"",""slug"":""publishing/letterpress"",""position"":7,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/letterpress""}}}",US,TRUE,TRUE,successful,41004,28,28,40000
142,"{""id"":335,""name"":""Fabrication Tools"",""slug"":""technology/fabrication tools"",""position"":5,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/fabrication%20tools""}}}",US,TRUE,FALSE,successful,21560,30,30,8232
40,"{""id"":282,""name"":""Festivals"",""slug"":""theater/festivals"",""position"":3,""parent_id"":17,""parent_name"":""Theater"",""color"":16743775,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/theater/festivals""}}}",US,TRUE,FALSE,successful,2020.99,59,59,500
3801,"{""id"":52,""name"":""Hardware"",""slug"":""technology/hardware"",""position"":8,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/hardware""}}}",US,TRUE,FALSE,successful,272851,45,45,25000
250,"{""id"":263,""name"":""Apparel"",""slug"":""fashion/apparel"",""position"":2,""parent_id"":9,""parent_name"":""Fashion"",""color"":16752598,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/fashion/apparel""}}}",CA,TRUE,FALSE,successful,19797.7900860036,21,21,8148.401388
224,"{""id"":45,""name"":""Art Books"",""slug"":""publishing/art books"",""position"":3,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/art%20books""}}}",SG,TRUE,FALSE,successful,22534.4459676,44,44,22150.5039
7,"{""id"":362,""name"":""Makerspaces"",""slug"":""technology/makerspaces"",""position"":9,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/makerspaces""}}}",FR,FALSE,FALSE,canceled,358.48414477,60,6,339259.443
54,"{""id"":313,""name"":""Small Batch"",""slug"":""food/small batch"",""position"":10,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/small%20batch""}}}",US,TRUE,FALSE,successful,10311,30,30,10000
1,"{""id"":291,""name"":""Action"",""slug"":""film & video/action"",""position"":1,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/action""}}}",AU,FALSE,FALSE,failed,0.9436808436,60,60,857.8916760000001
15,"{""id"":36,""name"":""Classical Music"",""slug"":""music/classical music"",""position"":3,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/classical%20music""}}}",US,TRUE,FALSE,successful,906,60,60,900
1167,"{""id"":337,""name"":""Gadgets"",""slug"":""technology/gadgets"",""position"":7,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/gadgets""}}}",GB,TRUE,FALSE,successful,73196.32647562,30,30,30864.340399999997
9,"{""id"":272,""name"":""Mobile Games"",""slug"":""games/mobile games"",""position"":3,""parent_id"":12,""parent_name"":""Games"",""color"":51627,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/games/mobile%20games""}}}",US,FALSE,FALSE,failed,87,60,60,20000
101,"{""id"":17,""name"":""Theater"",""slug"":""theater"",""position"":15,""color"":16743775,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/theater""}}}",US,TRUE,FALSE,successful,4595,32,32,2000
0,"{""id"":360,""name"":""Video"",""slug"":""journalism/video"",""position"":4,""parent_id"":13,""parent_name"":""Journalism"",""color"":1228010,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/journalism/video""}}}",ES,FALSE,FALSE,failed,0,30,30,4447.4094
31,"{""id"":266,""name"":""Footwear"",""slug"":""fashion/footwear"",""position"":5,""parent_id"":9,""parent_name"":""Fashion"",""color"":16752598,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/fashion/footwear""}}}",BE,FALSE,FALSE,failed,2488.76597664,30,30,156105.3928
1,"{""id"":24,""name"":""Performance Art"",""slug"":""art/performance art"",""position"":8,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/performance%20art""}}}",FR,FALSE,FALSE,failed,1.10212876,29,29,3306.38628
22,"{""id"":315,""name"":""Vegan"",""slug"":""food/vegan"",""position"":12,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/vegan""}}}",US,FALSE,TRUE,failed,1511,29,29,3000
72,"{""id"":47,""name"":""Fiction"",""slug"":""publishing/fiction"",""position"":7,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/fiction""}}}",US,TRUE,FALSE,successful,1624,14,14,1500
175,"{""id"":3,""name"":""Comics"",""slug"":""comics"",""position"":2,""color"":16776056,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/comics""}}}",GB,TRUE,FALSE,successful,4965.82980246,31,31,3013.9722486600003
98,"{""id"":262,""name"":""Accessories"",""slug"":""fashion/accessories"",""position"":1,""parent_id"":9,""parent_name"":""Fashion"",""color"":16752598,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/fashion/accessories""}}}",CA,TRUE,FALSE,successful,2223.176707515,20,20,1912.38375
53,"{""id"":262,""name"":""Accessories"",""slug"":""fashion/accessories"",""position"":1,""parent_id"":9,""parent_name"":""Fashion"",""color"":16752598,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/fashion/accessories""}}}",GB,TRUE,FALSE,successful,986.3311617,17,17,388.319355
13,"{""id"":54,""name"":""Mixed Media"",""slug"":""art/mixed media"",""position"":6,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/mixed%20media""}}}",GB,FALSE,FALSE,failed,691.31605,30,30,2833.2625
122,"{""id"":45,""name"":""Art Books"",""slug"":""publishing/art books"",""position"":3,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/art%20books""}}}",AU,TRUE,TRUE,successful,3692.44536072,25,25,3594.98142
2,"{""id"":360,""name"":""Video"",""slug"":""journalism/video"",""position"":4,""parent_id"":13,""parent_name"":""Journalism"",""color"":1228010,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/journalism/video""}}}",CA,FALSE,FALSE,failed,1.8627871,30,30,7745.4687618
6,"{""id"":341,""name"":""Wearables"",""slug"":""technology/wearables"",""position"":14,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/wearables""}}}",US,FALSE,FALSE,failed,57,30,30,10000
17,"{""id"":36,""name"":""Classical Music"",""slug"":""music/classical music"",""position"":3,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/classical%20music""}}}",US,TRUE,FALSE,successful,2500,30,30,2500
108,"{""id"":35,""name"":""Video Games"",""slug"":""games/video games"",""position"":7,""parent_id"":12,""parent_name"":""Games"",""color"":51627,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/games/video%20games""}}}",US,TRUE,FALSE,successful,15001,30,30,10000
435,"{""id"":48,""name"":""Nonfiction"",""slug"":""publishing/nonfiction"",""position"":9,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/nonfiction""}}}",US,TRUE,FALSE,successful,15241.5,40,40,13000
2,"{""id"":21,""name"":""Digital Art"",""slug"":""art/digital art"",""position"":3,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/digital%20art""}}}",US,FALSE,FALSE,failed,2,30,30,1500
1541,"{""id"":28,""name"":""Product Design"",""slug"":""design/product design"",""position"":5,""parent_id"":7,""parent_name"":""Design"",""color"":2577151,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/design/product%20design""}}}",US,TRUE,FALSE,successful,131000,45,45,20000
106,"{""id"":254,""name"":""Performances"",""slug"":""dance/performances"",""position"":1,""parent_id"":6,""parent_name"":""Dance"",""color"":10917369,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/dance/performances""}}}",US,TRUE,TRUE,successful,5657,33,33,5000
44,"{""id"":6,""name"":""Dance"",""slug"":""dance"",""position"":4,""color"":10917369,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/dance""}}}",US,TRUE,FALSE,successful,2500,23,23,2000
2,"{""id"":312,""name"":""Restaurants"",""slug"":""food/restaurants"",""position"":9,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/restaurants""}}}",US,FALSE,FALSE,failed,7,29,29,500
0,"{""id"":318,""name"":""Faith"",""slug"":""music/faith"",""position"":7,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/faith""}}}",US,FALSE,FALSE,failed,0,30,30,4000
12,"{""id"":287,""name"":""Ceramics"",""slug"":""art/ceramics"",""position"":1,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/ceramics""}}}",US,FALSE,FALSE,failed,797,15,15,1500
11,"{""id"":308,""name"":""Events"",""slug"":""food/events"",""position"":5,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/events""}}}",US,FALSE,FALSE,failed,722,35,35,7500
46,"{""id"":252,""name"":""Graphic Novels"",""slug"":""comics/graphic novels"",""position"":4,""parent_id"":3,""parent_name"":""Comics"",""color"":16776056,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/comics/graphic%20novels""}}}",US,TRUE,FALSE,successful,1152,29,29,500
100,"{""id"":46,""name"":""Children's Books"",""slug"":""publishing/children's books"",""position"":5,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/children's%20books""}}}",AU,TRUE,FALSE,successful,5922.3584238,28,28,3993.4986
0,"{""id"":267,""name"":""Jewelry"",""slug"":""fashion/jewelry"",""position"":6,""parent_id"":9,""parent_name"":""Fashion"",""color"":16752598,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/fashion/jewelry""}}}",GB,FALSE,FALSE,failed,0,30,30,2482.49838
44,"{""id"":298,""name"":""Movie Theaters"",""slug"":""film & video/movie theaters"",""position"":11,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/movie%20theaters""}}}",US,FALSE,FALSE,failed,1581,30,30,65000
108,"{""id"":297,""name"":""Horror"",""slug"":""film & video/horror"",""position"":10,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/horror""}}}",US,TRUE,FALSE,successful,50300,30,30,50000
33,"{""id"":40,""name"":""Indie Rock"",""slug"":""music/indie rock"",""position"":9,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/indie%20rock""}}}",US,TRUE,FALSE,successful,3432,28,28,3000
14,"{""id"":47,""name"":""Fiction"",""slug"":""publishing/fiction"",""position"":7,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/fiction""}}}",US,TRUE,FALSE,successful,417,30,30,200
0,"{""id"":342,""name"":""Web"",""slug"":""technology/web"",""position"":15,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/web""}}}",US,FALSE,FALSE,failed,0,60,60,25000
6,"{""id"":292,""name"":""Comedy"",""slug"":""film & video/comedy"",""position"":3,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/comedy""}}}",US,FALSE,FALSE,failed,225,30,30,2500
160,"{""id"":307,""name"":""Drinks"",""slug"":""food/drinks"",""position"":4,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/drinks""}}}",SG,TRUE,FALSE,successful,10350.8353008,30,30,9815.447268
320,"{""id"":333,""name"":""Camera Equipment"",""slug"":""technology/camera equipment"",""position"":3,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/camera%20equipment""}}}",US,TRUE,FALSE,successful,25611,29,29,21500
94,"{""id"":324,""name"":""Anthologies"",""slug"":""publishing/anthologies"",""position"":2,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/anthologies""}}}",CA,TRUE,FALSE,successful,2238.5879454403,29,29,1556.5801399999998
2,"{""id"":268,""name"":""Pet Fashion"",""slug"":""fashion/pet fashion"",""position"":7,""parent_id"":9,""parent_name"":""Fashion"",""color"":16752598,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/fashion/pet%20fashion""}}}",US,FALSE,FALSE,failed,6,11,11,400
4,"{""id"":239,""name"":""Radio & Podcasts"",""slug"":""publishing/radio & podcasts"",""position"":12,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/radio%20&%20podcasts""}}}",US,FALSE,FALSE,failed,169,29,29,25000
0,"{""id"":318,""name"":""Faith"",""slug"":""music/faith"",""position"":7,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/faith""}}}",US,FALSE,FALSE,failed,0,25,25,1000
0,"{""id"":27,""name"":""Graphic Design"",""slug"":""design/graphic design"",""position"":3,""parent_id"":7,""parent_name"":""Design"",""color"":2577151,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/design/graphic%20design""}}}",MX,FALSE,FALSE,failed,0,30,30,275.08660000000003
18,"{""id"":283,""name"":""Immersive"",""slug"":""theater/immersive"",""position"":4,""parent_id"":17,""parent_name"":""Theater"",""color"":16743775,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/theater/immersive""}}}",JP,TRUE,FALSE,successful,1442.45785606,30,30,931.718
15,"{""id"":341,""name"":""Wearables"",""slug"":""technology/wearables"",""position"":14,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/wearables""}}}",ES,FALSE,FALSE,failed,446.31042604,52,52,56069.149
15,"{""id"":289,""name"":""Textiles"",""slug"":""art/textiles"",""position"":12,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/textiles""}}}",GB,TRUE,FALSE,successful,499.343364,27,27,337.0567707
53,"{""id"":36,""name"":""Classical Music"",""slug"":""music/classical music"",""position"":3,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/classical%20music""}}}",US,TRUE,FALSE,successful,5031,90,90,5000
1,"{""id"":350,""name"":""Pottery"",""slug"":""crafts/pottery"",""position"":8,""parent_id"":26,""parent_name"":""Crafts"",""color"":16744876,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/crafts/pottery""}}}",US,FALSE,FALSE,canceled,1,30,4,4500
64,"{""id"":312,""name"":""Restaurants"",""slug"":""food/restaurants"",""position"":9,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/restaurants""}}}",US,TRUE,FALSE,successful,15125,32,32,15000
1,"{""id"":239,""name"":""Radio & Podcasts"",""slug"":""publishing/radio & podcasts"",""position"":12,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/radio%20&%20podcasts""}}}",US,FALSE,FALSE,failed,1,30,30,3000
87,"{""id"":36,""name"":""Classical Music"",""slug"":""music/classical music"",""position"":3,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/classical%20music""}}}",US,TRUE,FALSE,successful,8135,30,30,8000
386,"{""id"":312,""name"":""Restaurants"",""slug"":""food/restaurants"",""position"":9,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/restaurants""}}}",US,TRUE,TRUE,successful,21700,43,43,15000
229,"{""id"":18,""name"":""Publishing"",""slug"":""publishing"",""position"":13,""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing""}}}",GB,TRUE,TRUE,successful,8801.30748774,29,29,7825.9815
6,"{""id"":307,""name"":""Drinks"",""slug"":""food/drinks"",""position"":4,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/drinks""}}}",US,FALSE,FALSE,failed,185,30,30,4000
68,"{""id"":263,""name"":""Apparel"",""slug"":""fashion/apparel"",""position"":2,""parent_id"":9,""parent_name"":""Fashion"",""color"":16752598,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/fashion/apparel""}}}",SE,TRUE,FALSE,successful,5586.5114294668,33,33,5422.354
97,"{""id"":32,""name"":""Shorts"",""slug"":""film & video/shorts"",""position"":16,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/shorts""}}}",US,TRUE,FALSE,successful,24913,32,32,24855
4,"{""id"":308,""name"":""Events"",""slug"":""food/events"",""position"":5,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/events""}}}",US,FALSE,FALSE,failed,84,30,30,50000
10,"{""id"":36,""name"":""Classical Music"",""slug"":""music/classical music"",""position"":3,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/classical%20music""}}}",US,TRUE,FALSE,successful,725,32,32,560
23,"{""id"":293,""name"":""Drama"",""slug"":""film & video/drama"",""position"":5,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/drama""}}}",GB,TRUE,FALSE,successful,13384.75692813,25,25,12521.991699999999
0,"{""id"":29,""name"":""Animation"",""slug"":""film & video/animation"",""position"":2,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/animation""}}}",CA,FALSE,FALSE,failed,0,30,30,76785.513
30,"{""id"":32,""name"":""Shorts"",""slug"":""film & video/shorts"",""position"":16,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/shorts""}}}",MX,TRUE,TRUE,successful,4158.257358,33,33,4157.8
0,"{""id"":320,""name"":""Latin"",""slug"":""music/latin"",""position"":12,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/latin""}}}",MX,FALSE,FALSE,failed,0,60,60,5232.506
388,"{""id"":48,""name"":""Nonfiction"",""slug"":""publishing/nonfiction"",""position"":9,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/nonfiction""}}}",NL,TRUE,FALSE,successful,30197.23640856,29,29,21013.2468
4,"{""id"":278,""name"":""People"",""slug"":""photography/people"",""position"":4,""parent_id"":15,""parent_name"":""Photography"",""color"":58341,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/photography/people""}}}",GB,FALSE,FALSE,failed,5.9978288,30,30,14994.572
31,"{""id"":9,""name"":""Fashion"",""slug"":""fashion"",""position"":6,""color"":16752598,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/fashion""}}}",US,TRUE,FALSE,successful,795,30,30,750
15,"{""id"":342,""name"":""Web"",""slug"":""technology/web"",""position"":15,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/web""}}}",GB,FALSE,FALSE,failed,958.50984944,30,30,12814.3028
350,"{""id"":33,""name"":""Webseries"",""slug"":""film & video/webseries"",""position"":19,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/webseries""}}}",US,TRUE,FALSE,successful,31801,30,30,28785
6,"{""id"":267,""name"":""Jewelry"",""slug"":""fashion/jewelry"",""position"":6,""parent_id"":9,""parent_name"":""Fashion"",""color"":16752598,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/fashion/jewelry""}}}",GB,FALSE,FALSE,failed,132.27765616,14,14,508.760216
5,"{""id"":310,""name"":""Farmer's Markets"",""slug"":""food/farmer's markets"",""position"":6,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/farmer's%20markets""}}}",US,FALSE,FALSE,failed,530,35,35,5500
121,"{""id"":48,""name"":""Nonfiction"",""slug"":""publishing/nonfiction"",""position"":9,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/nonfiction""}}}",GB,TRUE,FALSE,successful,4920.84453094,30,30,4011.12205
15,"{""id"":26,""name"":""Crafts"",""slug"":""crafts"",""position"":3,""color"":16744876,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/crafts""}}}",US,TRUE,FALSE,successful,650,29,29,625
1,"{""id"":322,""name"":""R&B"",""slug"":""music/r&b"",""position"":16,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/r&b""}}}",US,FALSE,FALSE,canceled,1,29,16,2000
92,"{""id"":39,""name"":""Hip-Hop"",""slug"":""music/hip-hop"",""position"":8,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/hip-hop""}}}",US,TRUE,FALSE,successful,5526,20,20,5000
73,"{""id"":46,""name"":""Children's Books"",""slug"":""publishing/children's books"",""position"":5,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/children's%20books""}}}",GB,TRUE,FALSE,successful,3268.21060692,35,35,1717.2863616
5,"{""id"":308,""name"":""Events"",""slug"":""food/events"",""position"":5,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/events""}}}",US,FALSE,FALSE,failed,252,30,30,20000
171,"{""id"":32,""name"":""Shorts"",""slug"":""film & video/shorts"",""position"":16,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/shorts""}}}",US,TRUE,TRUE,successful,20075,28,28,20000
391,"{""id"":30,""name"":""Documentary"",""slug"":""film & video/documentary"",""position"":4,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/documentary""}}}",DE,TRUE,TRUE,successful,24406.12568258,37,37,17718.49952
9,"{""id"":313,""name"":""Small Batch"",""slug"":""food/small batch"",""position"":10,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/small%20batch""}}}",US,TRUE,FALSE,successful,170,30,30,150
22,"{""id"":48,""name"":""Nonfiction"",""slug"":""publishing/nonfiction"",""position"":9,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/nonfiction""}}}",US,TRUE,FALSE,successful,5750,29,29,5750
